id,make,model,mpg,horsepower,safety
1,Bugatti,Veyron,19.6,475,1.3
2,Mazda,MPV,27.8,133,4.1
3,Pontiac,Grand Prix,24.1,365,2.5
4,Mercury,Tracer,33.8,290,4.3
5,Eagle,Talon,16.3,260,3.4
6,Saab,900,30.2,308,1.5
7,Chevrolet,Corvette,19.3,333,1.1
8,Infiniti,FX,30.9,218,1.2
9,Mercedes-Benz,S-Class,34.4,406,2.8
10,Audi,90,34.1,434,1.5
11,Mitsubishi,Mighty Max Macro,26.4,267,2.6
12,GMC,2500 Club Coupe,26.8,367,1.4
13,Infiniti,I,33.5,311,3.5
14,Chevrolet,Silverado 1500,29.7,338,2.5
15,Hyundai,Azera,15.4,405,4.5
16,BMW,550,25.1,288,1.4
17,Ford,E-Series,18.1,432,4.2
18,Hummer,H1,34.4,407,1.5
19,Land Rover,Defender Ice Edition,31.6,137,4.7
20,Honda,Odyssey,39.9,359,3.6
21,Nissan,Maxima,25.0,478,4.8
22,Ford,F-350 Super Duty,35.0,255,2.6
23,Honda,Civic Si,37.3,386,4.6
24,Plymouth,Sundance,24.3,274,3.0
25,Mercury,Villager,16.1,315,4.6
26,Subaru,Forester,19.7,435,1.2
27,Lexus,LX,27.7,336,4.3
28,Ford,Mustang,17.1,348,2.2
29,Infiniti,QX56,20.4,398,2.0
30,MINI,Cooper,34.7,299,3.1
31,Mercedes-Benz,SL-Class,23.1,437,4.8
32,Saturn,Outlook,33.6,106,1.8
33,Honda,Civic GX,26.2,422,2.4
34,Land Rover,Range Rover,31.9,278,1.6
35,Mazda,B-Series,34.7,150,3.0
36,Toyota,Land Cruiser,18.5,110,2.8
37,Mazda,Protege,32.1,152,3.8
38,Hyundai,HED-5,25.8,106,1.1
39,Suzuki,Grand Vitara,19.8,212,4.2
40,Land Rover,Discovery,20.2,202,4.9
41,Land Rover,Discovery,33.9,427,3.7
42,Toyota,Land Cruiser,26.8,366,3.7
43,Jeep,Liberty,31.4,356,2.1
44,GMC,3500 Club Coupe,25.9,250,2.4
45,Chevrolet,Suburban 2500,30.6,306,3.4
46,Nissan,Versa,26.0,255,4.3
47,Jaguar,X-Type,39.4,193,2.6
48,Ford,Econoline E250,19.5,242,1.2
49,Mazda,626,27.5,161,4.5
50,Mitsubishi,Truck,39.7,428,4.2
